type,name,elevation_ft,iso_country,municipality,iata_code,coordinates
small_airport,Utirik Airport,4.0,MH,Utirik Island,UTK,"169.852005, 11.222"
small_airport,Ocean Reef Club Airport,8.0,US,Key Largo,OCA,"-80.274803161621, 25.325399398804"
small_airport,Pilot Station Airport,305.0,US,Pilot Station,PQS,"-162.899994, 61.934601"
small_airport,Crested Butte Airpark,8980.0,US,Crested Butte,CSE,"-106.928341, 38.851918"
small_airport,LBJ Ranch Airport,1515.0,US,Johnson City,JCY,"-98.62249755859999, 30.251800537100003"
small_airport,Metropolitan Airport,418.0,US,Palmer,PMX,"-72.31140136719999, 42.223300933800004"
seaplane_base,Loring Seaplane Base,0.0,US,Loring,WLR,"-131.636993408, 55.6012992859"
small_airport,Nunapitchuk Airport,12.0,US,Nunapitchuk,NUP,"-162.440454, 60.905591"
seaplane_base,Port Alice Seaplane Base,0.0,US,Port Alice,PTC,"-133.597, 55.803"
small_airport,Icy Bay Airport,50.0,US,Icy Bay,ICY,"-141.662002563, 59.96900177"
seaplane_base,Port Protection Seaplane Base,0.0,US,Port Protection,PPV,"-133.61000061035, 56.328800201416"
small_airport,Kalakaket Creek AS Airport,1598.0,US,Kalakaket Creek,KKK,"-156.820392609, 64.4166256967"
small_airport,Dunsmuir Muni-Mott Airport,3258.0,US,Dunsmuir,MHS,"-122.272003, 41.263199"
small_airport,Chase Field Industrial Airport,190.0,US,Beeville,NIR,"-97.661917, 28.362444"
small_airport,Grand Canyon Bar Ten Airstrip,4100.0,US,Whitmore,GCT,"-113.231003, 36.259701"
seaplane_base,Ellamar Seaplane Base,0.0,US,Ellamar,ELW,"-146.704038, 60.893818"
small_airport,Lime Village Airport,552.0,US,Lime Village,LVD,"-155.440002441, 61.3591003418"
small_airport,Hog River Airport,534.0,US,Hogatza,HGZ,"-155.6690063, 66.2161026"
small_airport,Ed-Air Airport,426.0,US,Oaktown,OTN,"-87.4997024536, 38.851398468"
small_airport,Telida Airport,650.0,US,Telida,TLF,"-153.26899719238, 63.393901824951"
small_airport,Eagle Air Park,15.0,US,Brazoria,BZT,"-95.579696655273, 28.982200622559"
seaplane_base,Entrance Island Seaplane Base,0.0,US,Entrance Island,HBH,"-133.43848, 57.412201"
seaplane_base,False Island Seaplane Base,,US,False Island,FAK,"-135.212997437, 57.5321998596"
small_airport,Blakely Island Airport,66.0,US,Blakely Island,BYW,"-122.825996399, 48.578998565700005"
small_airport,Drift River Airport,30.0,US,Kenai,DRF,"-152.162002563, 60.588901519800004"
small_airport,Rinkenberger Restricted Landing Area,808.0,US,Bradford,BDF,"-89.61569976810001, 41.230899810800004"
small_airport,Roy Otten Memorial Airfield,1030.0,US,Versailles,VRS,"-92.875198364258, 38.427799224854"
seaplane_base,Golden Horn Lodge Seaplane Base,91.0,US,Golden Horn Lodge,GDH,"-158.875, 59.7470016479"
small_airport,Atmautluak Airport,17.0,US,Atmautluak,ATT,"-162.272995, 60.866699"
small_airport,Livengood Camp Airport,425.0,US,Livengood,LIV,"-148.6534, 65.467"
small_airport,Pedro Bay Airport,45.0,US,Pedro Bay,PDB,"-154.12399292, 59.7896003723"
small_airport,Ouzinkie Airport,55.0,US,Ouzinkie,KOZ,"-152.496715, 57.925362"
small_airport,Tununak Airport,14.0,US,Tununak,TNK,"-165.27200317383, 60.575500488281"
